원시시대,,,
전력망,공장 계열,각 생산품,석탄 투입 공장의 효율 +1
전등,유리 공방,유리,유리 효율 +1
내연기관,석유 시추장,석유,석유 상품 해금
자동차 부품,기계부품 공장,기계부품,석유 투입 시 효율 +2
합성 비료,비료 공장,비료,석유/유황 투입 시 비료 효율 +2
냉장 창고,식료품 공장,식료품,식료품 효율 +1
전기 방직,의류 공방,의류,구리 투입 시 의류 효율 +2
전기 조립,공구공장,공구,기계부품 투입 시 공구 효율 +2
근대 세무,수도,국고,세율 +0.04
제약 설비,약품 공방,약품,유리 투입 시 약품 효율 +2
,,,
현대시대,,,
기술,건물,생산,해금/효과
석유화학,플라스틱 공장,플라스틱,"석유 투입, 플라스틱 해금"
플라스틱 용기,식료품 공장,식료품,플라스틱 투입 시 식료품 효율 +1
합성섬유,의류 공방,의류,플라스틱 투입 시 의류 효율 +2
현대 의류,의류 공방,의류,직물/플라스틱 투입 시 의류 효율 +2
자동화 설비,기계부품 공장,기계부품,구리/석유 투입 시 효율 +2
원자력,우라늄 광산,우라늄,우라늄 상품 해금
고성능 콘크리트,콘크리트 공장,콘크리트,석유 투입 시 콘크리트 효율 +2
합성 약품,약품 공방,약품,석유/약초 투입 시 약품 효율 +2
정밀 유리,유리 공방,유리,석탄/구리 투입 시 유리 효율 +1
포장 가구,가구 공방,가구,플라스틱 투입 시 가구 효율 +1
현대 행정,수도,국고,세율 +0.04
대형 광산,석탄 광산/철 광산,석탄/철,기계부품 투입 시 효율 +2
,,,
정보시대,,,
기술,건물,생산,해금/효과
반도체 장비,기계부품 공장,기계부품,유리/구리 투입 시 효율 +2
자동 물류,모든 광산,원자원,기계부품 투입 시 효율 +1
정밀 농업,밀농장,밀,비료/기계부품 투입 시 밀 효율 +3
바이오 의약,약품 공방,약품,약초/유리 투입 시 약품 효율 +3
스마트 공장,공구공장,공구,기계부품 투입 시 공구 효율 +3
합성 식품,식료품 공장,식료품,비료/플라스틱 투입 시 효율 +2
탄소 소재,플라스틱 공장,플라스틱,석유 투입 시 플라스틱 효율 +2
고급 가전,기계부품 공장,기계부품,구리/플라스틱 투입 시 효율 +1
데이터 세무,수도,국고,세율 +0.03
자동 채굴,우라늄/석유,우라늄/석유,기계부품 투입 시 효율 +2
스마트 의류,의류 공방,의류,플라스틱/직물 투입 시 효율 +2
고도 자동화,공장 계열,각 생산품,기계부품 투입 공장 효율 +1
,,,
미래시대,,,
기술,건물,생산,해금/효과
핵융합 소재,우라늄 광산,우라늄,우라늄 효율 +2
나노 제조,기계부품 공장,기계부품,플라스틱/구리 투입 시 효율 +3
초고강도 콘크리트,콘크리트 공장,콘크리트,우라늄/석재 투입 시 효율 +2
인공 식량,식료품 공장,식료품,비료/약품 투입 시 효율 +3
완전 자동 채굴,모든 광산,원자원,기계부품 투입 시 효율 +3
합성 의복,의류 공방,의류,플라스틱 투입 시 효율 +3
분자 약품,약품 공방,약품,약초/유리/플라스틱 투입 시 효율 +3
자율 공장,공구공장,공구,기계부품 투입 시 효율 +3
궤도 건재,콘크리트 공장,콘크리트,철/석재 투입 시 효율 +3
미래 세무,수도,국고,세율 +0.03
초정밀 유리,유리 공방,유리,구리/석탄 투입 시 효율 +3
고밀도 기계,기계부품 공장,기계부품,철/구리/플라스틱 투입 시 효율 +3
